Country,Year,% Electricity Access,% Electricity Access Rural,% Electricity Access Urban,% Basic Water Access,% Basic Water Access Rural,% Basic Water Access Urban,% Safe Water Access,% Safe Water Access Rural,% Safe Water Access Urban,% Internet Users,Mobile phone subscriptions per 100,Regulatory Quality: Estimate,Government Effectiveness: Estimate,Rule of Law: Estimate,"Government expenditure on education, total (% of GDP)",Pupil-teacher ratio Primary,Pupil-teacher ratio Secondary,School enrollment Tertiary,Domestic credit to private sector (% of GDP)
Colombia,2000,95.2,83.2728263302574,99.4,91.9600501288055,73.9438051410163,98.3042377166324,68.5495180186544,34.2168342650785,80.6393275621988,2.207532993,5.75492345,0.0915148556232452,-0.403075814247131,-0.925037920475006,3.5112099647522,26.45241,19.19542,25.5096893310547,20.9474743929536
Uruguay,2000,97.6418151855469,78.0671006001076,99.33749,96.979327450984,74.8080169959871,98.8999358314915,,,93.9230057783065,10.53905775,12.47749242,0.745703041553497,0.416957408189774,0.556891262531281,2.42254996299744,20.75667,14.62523,33.8414497375488,45.0942269291081
Paraguay,2000,89.578857421875,79.508954554312,97.7083435058594,76.2362190151531,54.3895688425271,93.8731378722036,49.8363406977831,27.6066538184421,67.7824856696434,0.747630712,16.0194964,-0.724985361099243,-1.03906869888306,-0.989421188831329,4.2302098274231,,11.88346,17.2084293365479,23.7603984264133
Peru,2000,72.496495,11.0893948031391,95.160342,80.1488865847973,50.3748930954251,91.1377313364777,44.8984082273486,13.8916979679047,56.3422191541544,3.076430611,4.779155172,0.331481695175171,-0.183523014187813,-0.718046724796295,3.22802996635437,28.74385,20.35754,33.3326187133789,26.3416775572587
Ecuador,2000,93.6975250244141,85.3655241512833,99.1833343505859,82.307372343955,69.3885032895523,90.8131830717405,58.2030485527504,42.9568377771948,68.241187653362,1.462188536,3.819053045,-0.452023267745972,-0.685290277004242,-0.666360259056091,1.15093004703522,23.25134,13.57916,,
Chile,2000,97.938687,86.545766045949,99.782113,95.7491208421222,75.0350378523185,99.1007526645129,92.0930265397315,,97.942799739497,16.6,22.15717664,1.4047327041626,1.00555968284607,1.26092338562012,3.75707006454468,32.22683,29.3532,35.4313201904297,
Brazil,2000,94.4314117431641,74.6087507052771,99.0233001708984,93.4715252595615,73.3094559038782,98.1420357948216,76.0321004143178,46.9754385138723,82.7630299204847,2.870685159,13.18455708,0.258442431688309,0.0430850870907307,-0.244871854782104,3.94893002510071,24.79699,,,31.1409857776162
Bolivia,2000,69.963045,28.1674284923216,95.81211,80.7715746117768,57.1670057283542,95.3701395041665,,,,1.442763585,6.780441344,0.0159793049097061,-0.309992283582687,-0.368222206830978,,,,,
Argentina,2000,95.6804733276367,91.7907280675116,96.1542663574219,96.2840257442126,76.4046814968374,98.7054445292028,,,,7.038683086,17.5015229,0.182292386889458,-0.0280386935919523,-0.214404493570328,4.58030986785889,20.05203,12.30048,54.3332710266113,23.8947336198062
"Venezuela, RB",2000,98.9,91.8620615494163,99.9,97.2276979084936,,,,,,3.359597465,22.29913391,-0.319230049848557,-0.692695796489716,-0.86523449420929,,,,27.9836292266846,10.4838423233885
